pop_total,med_income,med_age,white_alone,black_alone,asian_alone,hispanic_any,pop_below_poverty,NAME,Zip_Code,p_white,p_black,p_asian,p_hispanic,p_poverty
71284.0,65174.0,33.6,17406.0,9511.0,13277.0,34896.0,15380.0,ZCTA5 92105,92105,0.2441782167106223,0.1334240502777622,0.18625498007968128,0.4895348184725885,0.2157566915436844
20863.0,127209.0,38.7,15943.0,438.0,958.0,3359.0,1740.0,ZCTA5 92106,92106,0.7641758136413747,0.020994104395341034,0.045918611896659155,0.1610027321094761,0.08340123663902603
29789.0,107262.0,36.4,23132.0,554.0,950.0,4838.0,2332.0,ZCTA5 92107,92107,0.7765282486823996,0.0185974688643459,0.03189096646413105,0.1624089428983853,0.07828393030984591
24401.0,101704.0,33.8,14015.0,1525.0,3112.0,5866.0,2699.0,ZCTA5 92108,92108,0.574361706487439,0.06249743862956436,0.1275357567312815,0.24039998360722922,0.11061022089258638
44456.0,118300.0,33.5,34881.0,867.0,1694.0,5438.0,3822.0,ZCTA5 92109,92109,0.7846184991902105,0.019502429368364226,0.03810509267590426,0.12232319596904805,0.08597264711175094
31186.0,102508.0,34.2,20299.0,1530.0,2337.0,5705.0,4333.0,ZCTA5 92110,92110,0.6509010453408581,0.04906047585455012,0.07493747194253832,0.1829346501635349,0.13894055024690566
45888.0,95081.0,37.9,24431.0,2062.0,9224.0,12519.0,4474.0,ZCTA5 92111,92111,0.5324049860529986,0.04493549511854951,0.20101115760111576,0.27281642259414224,0.09749825662482567
49047.0,59177.0,32.0,17332.0,5014.0,1759.0,38153.0,10466.0,ZCTA5 92113,92113,0.3533753338634371,0.10222847472832182,0.035863559442983264,0.7778865170142925,0.21338715925540808
64820.0,90171.0,38.0,14040.0,11289.0,15593.0,28351.0,7591.0,ZCTA5 92114,92114,0.2165998148719531,0.17415921012033322,0.24055846960814564,0.43738043813637767,0.11710891700092564
64011.0,75178.0,29.0,31792.0,6403.0,8346.0,19445.0,12018.0,ZCTA5 92115,92115,0.4966646357657278,0.10002968239833779,0.1303838402774523,0.30377591351486466,0.18774898064395182
31484.0,95775.0,35.6,19742.0,1440.0,2086.0,9322.0,2893.0,ZCTA5 92116,92116,0.6270486596366408,0.0457375174691907,0.0662558760005082,0.2960869012831915,0.09188794308220048
52645.0,105286.0,39.2,34013.0,1080.0,4746.0,13275.0,5467.0,ZCTA5 92117,92117,0.6460822490264982,0.020514768733972837,0.09015101149206953,0.2521606990217495,0.10384651913761991
18495.0,135056.0,42.2,14632.0,405.0,706.0,3524.0,786.0,ZCTA5 92118,92118,0.791132738577994,0.021897810218978103,0.03817247904839146,0.19053798323871315,0.04249797242497973
24868.0,115600.0,41.7,16713.0,921.0,2134.0,4346.0,1458.0,ZCTA5 92119,92119,0.672068521795078,0.03703554769181277,0.08581309313173556,0.17476274730577449,0.058629564098439765
31797.0,114579.0,37.1,21365.0,2013.0,2506.0,6257.0,2994.0,ZCTA5 92120,92120,0.6719187344718055,0.06330785923200302,0.07881246658489795,0.19677957039972324,0.09415982639871685
4157.0,135795.0,32.7,2120.0,83.0,1074.0,597.0,697.0,ZCTA5 92121,92121,0.5099831609333654,0.019966321866730814,0.2583593937936012,0.14361318258359393,0.16766899206158287
45437.0,98825.0,31.2,24997.0,501.0,12754.0,6100.0,9372.0,ZCTA5 92122,92122,0.5501463564936065,0.01102625613486806,0.2806963487906332,0.13425182120298434,0.206263617756454
32999.0,121856.0,36.4,16272.0,2227.0,7266.0,7206.0,2620.0,ZCTA5 92123,92123,0.4931058516924755,0.06748689354222855,0.22018849056032,0.21837025364404983,0.0793963453437983
31032.0,108219.0,32.4,20293.0,2044.0,3370.0,6283.0,1696.0,ZCTA5 92124,92124,0.6539378705852024,0.06586749162155195,0.1085975766950245,0.20246841969579787,0.05465326114978087
77239.0,123232.0,36.3,22381.0,2558.0,38016.0,12729.0,6010.0,ZCTA5 92126,92126,0.2897629435906731,0.033117984437913486,0.4921865896761998,0.16480016571939046,0.07781043255350277
50711.0,179220.0,38.6,25539.0,1031.0,16372.0,4050.0,1700.0,ZCTA5 92127,92127,0.5036185443000533,0.020330894677683342,0.3228490859971209,0.07986432923823233,0.03352329869259135
48492.0,128150.0,44.4,27358.0,1217.0,13180.0,5123.0,2620.0,ZCTA5 92128,92128,0.564175534108719,0.025096923203827434,0.2717974098820424,0.10564629217190465,0.054029530644229974
53080.0,152626.0,41.0,26241.0,841.0,18336.0,6573.0,2673.0,ZCTA5 92129,92129,0.4943669932177845,0.015844009042954032,0.34544084400904296,0.12383195177091183,0.050357950263752824
59768.0,201731.0,39.7,31542.0,199.0,20009.0,5434.0,2784.0,ZCTA5 92130,92130,0.5277405969749699,0.003329540891446928,0.33477780752242003,0.09091821710614376,0.04658010975772989
35831.0,181281.0,43.0,18985.0,508.0,10842.0,3916.0,1042.0,ZCTA5 92131,92131,0.5298484552482488,0.01417766738299238,0.3025871452094555,0.10929083754290977,0.029080963411570987
34780.0,92381.0,36.5,7734.0,3701.0,9974.0,14302.0,2549.0,ZCTA5 92139,92139,0.22236917768832662,0.10641173087981598,0.28677400805060377,0.41121334100057505,0.07328924669350201
82832.0,90035.0,35.6,27060.0,4675.0,10154.0,56575.0,8848.0,ZCTA5 92154,92154,0.32668533899942054,0.05643954027429013,0.12258547421286459,0.6830089820359282,0.10681862082287039
26507.0,65865.0,36.3,7296.0,438.0,659.0,24549.0,3611.0,ZCTA5 92173,92173,0.275248047685517,0.01652393707322594,0.024861357377296563,0.926132719658958,0.13622816614479194
