pop_total,med_income,med_age,white_alone,black_alone,asian_alone,hispanic_any,pop_below_poverty,NAME,state,county,tract,GEOID,p_white,p_black,p_asian,p_hispanic,p_poverty,STATE,COUNTY,TRACT,centroid_lon,centroid_lat,region
3248.0,82013.0,34.4,1935.0,94.0,121.0,1186.0,382.0,Census Tract 18.02; San Diego County; California,06,073,001802,06073001802,0.5957512315270936,0.02894088669950739,0.03725369458128079,0.36514778325123154,0.11761083743842364,06,073,001802,-117.12287684126984,32.7631466031746,coastal
3343.0,131619.0,43.1,2296.0,42.0,138.0,842.0,351.0,Census Tract 19; San Diego County; California,06,073,001900,06073001900,0.6868082560574335,0.012563565659587198,0.041280287167215074,0.25186957822315287,0.10499551301226444,06,073,001900,-117.12012977578475,32.76743813901346,coastal
3566.0,188306.0,49.0,2713.0,42.0,257.0,492.0,248.0,Census Tract 20.01; San Diego County; California,06,073,002001,06073002001,0.7607964105440269,0.011777902411665733,0.0720695457094784,0.13796971396522714,0.06954570947840717,06,073,002001,-117.10506207762556,32.76783997260274,coastal
2626.0,166605.0,39.7,1937.0,106.0,238.0,350.0,173.0,Census Tract 20.02; San Diego County; California,06,073,002002,06073002002,0.7376237623762376,0.04036557501904037,0.09063214013709063,0.13328255902513328,0.06587966488956588,06,073,002002,-117.09381974033148,32.76299933149171,coastal
5795.0,76648.0,34.0,2657.0,645.0,367.0,2431.0,778.0,Census Tract 21; San Diego County; California,06,073,002100,06073002100,0.45849870578084556,0.11130284728213978,0.0633304572907679,0.4194995685936152,0.13425366695427093,06,073,002100,-117.10843286057693,32.75892160096154,coastal
3145.0,40647.0,35.4,620.0,805.0,525.0,1146.0,928.0,Census Tract 22.01; San Diego County; California,06,073,002201,06073002201,0.1971383147853736,0.2559618441971383,0.1669316375198728,0.3643879173290938,0.2950715421303657,06,073,002201,-117.11257697014925,32.75254629850747,coastal
4825.0,53537.0,35.4,1262.0,955.0,988.0,2289.0,1147.0,Census Tract 22.02; San Diego County; California,06,073,002202,06073002202,0.26155440414507775,0.19792746113989637,0.20476683937823834,0.4744041450777202,0.237720207253886,06,073,002202,-117.10572829473683,32.752444726315794,coastal
3190.0,76884.0,36.1,1335.0,567.0,479.0,965.0,264.0,Census Tract 23.01; San Diego County; California,06,073,002301,06073002301,0.41849529780564265,0.17774294670846394,0.15015673981191222,0.30250783699059564,0.08275862068965517,06,073,002301,-117.09473225185185,32.75730291851852,coastal
5882.0,46806.0,40.3,1523.0,276.0,2599.0,2443.0,1154.0,Census Tract 23.02; San Diego County; California,06,073,002302,06073002302,0.25892553553213193,0.046922815368922136,0.44185651139068344,0.41533492009520573,0.19619177150629039,06,073,002302,-117.09655982352942,32.752913715686276,coastal
4314.0,75813.0,32.6,2196.0,245.0,423.0,2060.0,834.0,Census Tract 24.01; San Diego County; California,06,073,002401,06073002401,0.5090403337969402,0.05679184051923968,0.09805285118219749,0.4775150672229949,0.1933240611961057,06,073,002401,-117.11647417857142,32.74733309285714,coastal
4951.0,54944.0,32.5,747.0,773.0,502.0,3290.0,888.0,Census Tract 24.02; San Diego County; California,06,073,002402,06073002402,0.15087861038174105,0.1561300747323773,0.10139365784689962,0.6645122197535851,0.17935770551403757,06,073,002402,-117.10615595789474,32.74681036842105,coastal
4878.0,76208.0,31.5,1291.0,547.0,725.0,3137.0,1251.0,Census Tract 25.01; San Diego County; California,06,073,002501,06073002501,0.2646576465764658,0.1121361213612136,0.14862648626486266,0.6430914309143091,0.2564575645756458,06,073,002501,-117.11002463354036,32.74026943478261,coastal
6932.0,94092.0,36.6,2529.0,423.0,623.0,3114.0,1021.0,Census Tract 25.02; San Diego County; California,06,073,002502,06073002502,0.3648297749567224,0.06102135025966532,0.0898730525100981,0.4492210040392383,0.14728793998845932,06,073,002502,-117.10681066523605,32.72860230901288,coastal
5994.0,65000.0,33.0,1001.0,388.0,1447.0,3498.0,1481.0,Census Tract 26.01; San Diego County; California,06,073,002601,06073002601,0.16700033366700034,0.0647313980647314,0.24140807474140807,0.5835835835835835,0.24708041374708042,06,073,002601,-117.09596527868852,32.7447571147541,coastal
4655.0,58417.0,35.9,1355.0,404.0,738.0,2722.0,960.0,Census Tract 26.02; San Diego County; California,06,073,002602,06073002602,0.29108485499462944,0.08678839957035446,0.15853920515574652,0.5847475832438238,0.20622986036519872,06,073,002602,-117.09742405333333,32.73555058666667,coastal
5559.0,80090.0,32.8,2189.0,830.0,1000.0,1609.0,606.0,Census Tract 27.02; San Diego County; California,06,073,002702,06073002702,0.39377585896744016,0.14930742939377586,0.17988846914912754,0.2894405468609462,0.1090124123043713,06,073,002702,-117.07159668309859,32.755520654929576,coastal
7082.0,83644.0,38.4,3295.0,495.0,508.0,3705.0,843.0,Census Tract 27.03; San Diego County; California,06,073,002703,06073002703,0.46526404970347357,0.06989550974301045,0.07173114939282689,0.5231573001976842,0.11903417113809658,06,073,002703,-117.06557963562753,32.74468889068826,coastal
4756.0,75703.0,41.0,1330.0,476.0,1620.0,1573.0,898.0,Census Tract 27.05; San Diego County; California,06,073,002705,06073002705,0.2796467619848612,0.10008410428931876,0.3406223717409588,0.33074011774600504,0.18881412952060556,06,073,002705,-117.08432660451977,32.73281573446327,coastal
4980.0,45529.0,31.7,370.0,617.0,804.0,2418.0,1706.0,Census Tract 27.07; San Diego County; California,06,073,002707,06073002707,0.07429718875502007,0.12389558232931727,0.1614457831325301,0.4855421686746988,0.342570281124498,06,073,002707,-117.08939470930233,32.75227606976744,coastal
4789.0,41119.0,28.9,1031.0,668.0,859.0,2619.0,1027.0,Census Tract 27.08; San Diego County; California,06,073,002708,06073002708,0.21528502818960116,0.13948632282313636,0.1793693881812487,0.5468782626853205,0.21444978074754645,06,073,002708,-117.08346568965517,32.75283956321839,coastal
3800.0,53520.0,29.1,676.0,911.0,299.0,1977.0,1400.0,Census Tract 27.09; San Diego County; California,06,073,002709,06073002709,0.17789473684210527,0.23973684210526316,0.07868421052631579,0.5202631578947369,0.3684210526315789,06,073,002709,-117.08903894210528,32.74423127894737,coastal
